"Variable","Value"
"Study Design",""
"  Total subjects","31"
"  Expected observations (31 subjects × 3 days × 4 samples)","372"
"",""
"Data Processing",""
"  Raw data observations","372"
"  Duplicate dates removed (keeping earliest per subject-day)","8"
"  Same-date duplicates collapsed","0"
"  Final analysis observations","364"
"",""
"Variable Availability (n, %)",""
"  Collection Date","364 (100.0%)"
"  Booklet clock time","329 (90.4%)"
"  MEMs clock time","303 (83.2%)"
"  Sleep Diary wake time","364 (100.0%)"
"  Booklet minutes since wake","326 (89.6%)"
"  MEMs minutes since wake","288 (79.1%)"
"  Cortisol (nmol/L)","358 (98.4%)"
"  DHEA (nmol/L)","345 (94.8%)"
"",""
"Data Exclusions",""
"  Cortisol >80 nmol/L (set to NA)","1"
"  DHEA at detection limit 5.205 nmol/L (set to NA)","6"
"  Subjects with >25% DHEA at limit (all DHEA set to NA)","1 subjects"
